"name","address"
"札幌","北海道札幌市白石区本通18-北4-1"
"札幌東","北海道札幌市東区東雁来五条1-4-1"
"札幌北","札幌市西区八軒十条西10-444"
"岩見沢","北海道岩見沢市東町191-3"
"小樽","北海道小樽市銭函3-263-15"
"函館","北海道函館市西桔梗町589-196函館流通事業センター内"
"北海道航空","北海道札幌市白石区本通18-北4-1"
"千葉","千葉県船橋市潮見町42-5"
"千葉中央","千葉県千葉市美浜区新港14-1"
"千葉南","千葉県千葉市緑区高田町1666-1"
"千葉北","千葉県千葉市花見川区三角町657-1"
"東京","東京都江東区東雲2-13-32"
"江東","東京都江東区新木場2-15-25"
"品川","東京都大田区東糀谷6-5-2"
"城北","東京都板橋区新河岸1-11-11"
"城南","東京都品川区八潮3-2-38"
"羽田","東京都大田区昭和島1-6-7"
"大田西糀谷","東京都大田区西糀谷2-10-9"
"城東","東京都江東区新木場2-15-22"
"城西","東京都江東区新砂1-12-14"
"杉並","東京都杉並区上高井戸2-2-40"
"目黒","東京都品川区八潮3-2-38"
"熊本","熊本県熊本市東区小山町1816-1"
"南熊本","熊本県熊本市南区流通団地2-20-3"
"北熊本","熊本県玉名郡和水町大字瀬川字志水前368-1"
"八代","熊本県八代市川田町西523"
"八代","熊本県八代市川田町西523"
"鹿児島","鹿児島県鹿児島市宇宿2-10-1"
"川内","鹿児島県薩摩川内市湯島町字竹島3535-8"
"鹿屋","鹿児島県鹿屋市旭原町3642-2"
"沖縄","沖縄県沖縄市字登川1211-1"
"那覇",沖縄県糸満市西崎町5-13-1"
"石垣島","沖縄県石垣市真栄里565-1"
"宮古島","沖縄県宮古島市平良字下里1310-1"
"名護","沖縄県名護市宇茂佐の森5-6-3"
"宮崎","宮崎県宮崎市郡司分字萩ケ嶋甲5788-1"
"延岡","宮崎県延岡市大武町396-2"
"沖縄空港","沖縄県那覇市鏡水400"
"福岡","福岡県福岡市東区箱崎ふ頭4-12-5"
"久留米","福岡県久留米市新合川1-6-51"
"南福岡","福岡県福岡市南区清水3-1-5"
"東福岡","福岡県福岡市東区松島3-23-1"
"宗像","福岡県宗像市大字光岡304-1"
"西福岡","福岡県福岡市西区拾六町2-6"
"北九州","福岡県北九州市小倉北区東港2-4-1"
"大分","大分県大分市大字海原字東新田739-1"
"佐賀","佐賀県佐賀市大和町大字川上5516-1"
"鳥栖","佐賀県鳥栖市原町字笹尾1084-1"
"九州航空","福岡県福岡市博多区榎田2-4-6"
"",""
